animeTitle	b'Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (2015)'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Isobe Isobee is a lazy, slacker samurai with big dreams. He lives with his mother, who thinks highly of him. He lays around the house, sneakily looks at Edo-period pornography without his mother noticing, naps at school... but he plans to become a respectable samurai one day!\n\n(Source: MangaHelpers)'
animeRelated	[b'Isobe Isobee Monogatari: Ukiyo wa Tsurai yo', b'Isobe Isobee Monogatari Jump Festa Special', b'Isobe Isobee with Nakata Yasutaka de Sourou']
animeCharacters	[b'Isobe, Isobee', b'Isobe, Mother', b'Hiraga, Gennai', b'Nakajima, Jou']
animeVoices	[b'\nYamashita, Daiki\nJapanese\n', b'\nTakahashi, Chiaki\nJapanese\n', b'\nMatsuyama, Takashi\nJapanese\n', b'\nMurase, Ayumu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMankyuu\n\nDirector\n\n', b'\nNakama, Ryou\n\nOriginal Creator\n\n']
