animeTitle	September
animeType	Music
animeNumEpisode	1
releaseDate	2014-11-17 00:00:00
endDate	
animeNumMembers	152
animeScore	
animeUsers	
animeRank	13159
animePopularity	16912
animeDescription	"Music video directed by Kouhei Yoshino for the Japanese pop cover of Earth, Wind & Fire's September by musical duo PACO (Aaco and Shinpei) on their tribute album ""Pacollaboration EARTH, WIND & FIRE GREATEST HITS COVER."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
