animeTitle	Renlei Bowuguan
animeType	ONA
animeNumEpisode	36
releaseDate	2020-08-25 00:00:00
endDate	2020-11-10 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14863
animeDescription	"After the end of the world, there is a mysterious museum left in the world. No one knows where the collection came from. Are these seemingly funny ""historical relics"" proof of the existence of real humans?

(Source: bilibili, translated)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
