animeTitle	b'Amagami SS OVA'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.24
animeUsers	26948
animeRank	
animePopularity	
animeDescription	b'According to the official website, two-volume OVA of Amagami SS will be distributed to those who purchase all the volumes of the DVD/Blu-rays of the TV series. The first volume will carry three short episodes of Haruka, Kaoru and Sae. The second volume will contain Ai, Rihoko and Tsukasa\xe2\x80\x99s episodes.'
animeRelated	[b'Amagami SS']
animeCharacters	[b'Morishima, Haruka', b'Ayatsuji, Tsukasa', b'Nanasaki, Ai', b'Tanamachi, Kaoru', b'Nakata, Sae', b'Sakurai, Rihoko', b'Tachibana, Miya', b'Tachibana, Junichi', b'Kamizaki, Risa', b'Umehara, Masayoshi']
animeVoices	[b'\nItou, Shizuka\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nYukana\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nKonno, Hiromi\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nEnterbrain\n\nOriginal Creator\n\n', b'\nTakayama, Kisai\n\nOriginal Character Design\n\n', b'\nGouda, Hiroaki\n\nCharacter Design\n\n']
