animeTitle	b'Flying Witch Petit'
animeType	b'ONA'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	5784
animeRank	
animePopularity	
animeDescription	b'CG short specials of Flying Witch posted on the official YouTube channel of distributor VAP and later bundled with the Blu-ray and DVD volumes.'
animeRelated	[b'Flying Witch', b'Flying Witch Petit Special']
animeCharacters	[b'Kowata, Makoto', b'Kowata, Akane', b'Kuramoto, Chinatsu', b'Chito']
animeVoices	[b'\nShinoda, Minami\nJapanese\n', b'\nAoi, Kana\nJapanese\n', b'\nSuzuki, Eri\nJapanese\n', b'\nKayano, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIchikawa, Kazuya\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nKouda, Nao\n\nEpisode Director, Storyboard, Editing\n\n', b'\nMieno, Hitomi\n\nScript\n\n']
