animeTitle	Tantei Kageki Milky Holmes TD
animeType	TV
animeNumEpisode	12
releaseDate	2015-01-03 00:00:00
endDate	2015-03-28 00:00:00
animeNumMembers	
animeScore	6.45
animeUsers	2703
animeRank	
animePopularity	5754
animeDescription	"There have been many cases of stolen songs happening among the idols in Yokohama District recently. Even super idol Marine Amagi's hit song ""Kiseki no Uta"" was taken away. At the request of Marine, the Milky Holmes team starts investigating the case.

(Source: Crunchyroll)"
animeRelated	['Futari wa Milky Holmes', 'Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes']
animeCharacters	['Shellingford, Sherlock', 'Burton, Hercule', 'Glauca, Cordelia', 'Yuzurizaki, Nero', 'Amagi, Marine', 'Akechi, Kokoro', 'Myoujingawa, Alice', 'Kobayashi, Opera', 'Tokiwa, Kazumi', 'Gurdy, Anne']
animeVoices	['Mimori, Suzuko', 'Sasaki, Mikoi', 'Kitta, Izumi', 'Tokui, Sora', 'Nitta, Emi', 'Nanjou, Yoshino', 'Itou, Ayasa', 'Morishima, Shuuta', 'Terakawa, Aimi', 'Seto, Asami']
animeStaff	[['Agematsu, Noriyasu', 'Producer'], ['Nishikiori, Hiroshi', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Yasukawa, Shougo', 'Script']]
