animeTitle	Shin Chuuka Ichiban!
animeType	TV
animeNumEpisode	12
releaseDate	2019-10-12 00:00:00
endDate	2019-12-28 00:00:00
animeNumMembers	9974
animeScore	6.41
animeUsers	2953
animeRank	6608
animePopularity	5312
animeDescription	"After passing the Guangzhou Special Chef Trials, Mao decided to travel around China, to learn more about the unique preparation of food. Upon his return, he will learn that the real battle has only just begun. The Underground Cooking Society has already begun to move... 

(Source: MU)"
animeRelated	['Shin Chuuka Ichiban!', 'Chuuka Ichiban!', 'Shin Chuuka Ichiban! 2nd Season']
animeCharacters	['Mao Xing, Liu', 'Hong, Lanfei', 'Xi Er', 'Zhi Lao', 'Zhou, Mei Li', 'Li Wen', 'Shan', 'Luou', 'Li Yan', 'Lee']
animeVoices	['Fujiwara, Natsumi', 'Enoki, Junya', 'Nakamura, Yuuichi', 'Fujii, Yukiyo', 'Kayano, Ai', 'Sugita, Tomokazu', 'Kaida, Yuuko']
animeStaff	[['Kuroki, Rui', 'Producer'], ['Kawasaki, Itsurou', 'Director, Series Composition'], ['Brian the Sun', 'Theme Song Performance'], ['Ogawa, Etsushi', 'Original Creator']]
