animeTitle	Hikaru no Go: New Year Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	4582
animeRank	
animePopularity	5511
animeDescription	New year special. Summary recap. This episode should be seen between episodes 12 and 13.
animeRelated	['Hikaru no Go']
animeCharacters	['Fujiwara no, Sai', 'Shindou, Hikaru', 'Touya, Akira', 'Fujisaki, Akari', 'Touya, Kouyou', 'Tsutsui, Kimihiro', 'Kishimoto, Kaoru']
animeVoices	['Chiba, Susumu', 'Kawakami, Tomoko', 'Kobayashi, Sanae', 'Kakazu, Yumi', 'Tsuda, Eizou', 'Tsumura, Makoto', 'Sakurai, Takahiro']
animeStaff	[['Takahashi, Hideo', 'Sound Director'], ['Yokote, Michiko', 'Script'], ['Obata, Takeshi', 'Original Character Design'], ['Hotta, Yumi', 'Original Creator']]
