animeTitle	Souryuuden
animeType	OVA
animeNumEpisode	12
releaseDate	1991-06-25 00:00:00
endDate	1993-03-10 00:00:00
animeNumMembers	
animeScore	6.53
animeUsers	682
animeRank	
animePopularity	8608
animeDescription	"The four Ryudo brothers hold an ancient secret -  they are descended from the dragons. They have the speed, strength and  power of their legendary ancestors - and they're getting stronger. But when pushed to the limit, they become the terrifying, uncontrollable dragons of mythology. These powers have attracted the attention of some powerful enemies - shadowy organizations with unlimited resources and weapons who will stop at nothing to control the brothers.

(Source: U.S. Manga)"
animeRelated	['Souryuuden']
animeCharacters	['Ryudo, Hajime', 'Ryudo, Amaru', 'Ryudo, Tsuzuku', 'Ryudo, Owaru', 'Mizuchi, Masahiko', 'Prime Minister', 'Dr. Tamozawa', 'Toba, Matsuri']
animeVoices	['Hori, Hideyuki', 'Yamaguchi, Kappei', 'Tobita, Nobuo', 'Nakamura, Daiki', 'Yao, Kazuki', 'Ogata, Kenichi', 'Takiguchi, Junpei', 'Tamagawa, Sakiko']
animeStaff	[['Dezaki, Osamu', 'Director, Storyboard'], ['Toriumi, Hisayuki', 'Director'], ['Endo, Akinori', 'Script'], ['Tanaka, Yoshiki', 'Original Creator']]
