animeTitle	Mesu Kyoushi: Injoku no Kyoushitsu
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	1528
animeRank	
animePopularity	6971
animeDescription	"Based on the adult game by Bishop.

Toudou Miyuki and Sanada Eiji are teachers in the same school and lovers. They had decided that they would preserve their chastity until they are married. However, Miyuki is assaulted and loses her virginity to Takuya, Eiji's step-brother. Furthermore, it doesn't stop there as Takuya turns his attention on the other female teachers one after the other.

(Source: hanime)"
animeRelated	['Mesu Kyoushi: Injoku no Kyoushitsu', 'Mesu Kyoushi 4: Kegasareta Kyoudan']
animeCharacters	['Toudou, Miyuki', 'Misawa, Takuya', 'Makiyama, Rihoko', 'Hasekura, Ritsuko', 'Kasai, Makoto', 'Sanada, Eiji', 'Takamine, Saya']
animeVoices	['Amamiya, Yuu', 'Nishijima, Kaori', 'Shiomi, Rin']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Araki, Hideki', 'Director, Episode Director, Storyboard, Character Design, Animation Director'], ['Iida, Satoki', 'Sound Director'], ['Sawayama, Shinichiro', 'Script, Screenplay']]
