animeTitle	Mousou Teikoku Chikuonki
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	106
animeRank	
animePopularity	15389
animeDescription	Music video directed by Kousuke Sugimoto for the single Mousou Teikoku Chikuonki by Eri Kitamura. The limited edition version included a DVD with this music video, a making-of, and a short version that was released on the Teichiku Records YouTube channel in December of 2017 to promote the single.
animeRelated	['gdMen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
