animeTitle	Hoshiai no Sora
animeType	TV
animeNumEpisode	12
releaseDate	2019-10-11 00:00:00
endDate	2019-12-27 00:00:00
animeNumMembers	152553
animeScore	7.58
animeUsers	62095
animeRank	1371
animePopularity	1176
animeDescription	"Constantly outperformed by the girls' club, the boys' soft tennis club faces disbandment due to their poor skills and lack of positive results in matches. In desperate need of members, Toma Shinjou is looking to recruit capable players, but he fails to scout anyone. Enter Maki Katsuragi, a new transfer student who demonstrates great reflexes when he catches a stray cat in his classroom, instantly capturing Toma's attention. With his interest piqued, Toma ambitiously asks Maki to join the boys' team but is quickly rejected, as Maki doesn't wish to join any clubs. Toma refuses to back down and ends up persuading Maki—only under the condition that Toma will pay him for his participation and cover other club expenses. 

As Maki joins the team, his incredible form and quick learning allow him to immediately outshine the rest of the team. Although this gives rise to conflict among the boys, Maki challenges and pushes his fellow team members to not only keep up with his seemingly natural talent, but also drive them to devote themselves to the game they once neglected. 

This story focuses on the potential of the boys' soft tennis club and their discovery of their own capability, while also enduring personal hardships and dealing with the darker side of growing up in middle school.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Katsuragi, Maki', 'Shinjou, Touma ', 'Asuka, Yuu', 'Mitsue, Kanako', 'Ameno, Itsuki', 'Tsukinose, Nao', 'Soga, Tsubasa', 'Ouji, Arashi', 'Futsu, Rintarou', 'Takenouchi, Shingo']
animeVoices	['Hanae, Natsuki', 'Hatanaka, Tasuku', 'Yamaya, Yoshitaka', 'Mineda, Mayu', 'Matsuoka, Yoshitsugu', 'Kobayashi, Yuusuke', 'Toyonaga, Toshiyuki', 'Terashima, Takuma', 'Satou, Gen', 'Satou, Keisuke']
animeStaff	[['Akane, Kazuki', 'Director, Script, Original Creator'], ['Aketagawa, Jin', 'Sound Director'], ['Inokawa, Shintarou', 'Episode Director, Assistant Director'], ['Miyaji, Masayuki', 'Storyboard']]
