animeTitle	Yoru no Okite
animeType	Movie
animeNumEpisode	1
releaseDate	1995-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	4.09
animeUsers	783
animeRank	
animePopularity	10162
animeDescription	"""Yoru no Okite"" takes us to the sky (or to hell) to accompany the delirium of a man who is assassinated. A different take on a spirit who is adrift after being murdered. This restless spirit takes us on a surreal journey through death, the after life, and back to the land of the living again.
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
