animeTitle	Teekyuu 5 Specials
animeType	Special
animeNumEpisode	2
releaseDate	2015-11-27 00:00:00
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	1480
animeRank	
animePopularity	7763
animeDescription	Unaired specials included in the Blu-ray and DVD release.
animeRelated	['Teekyuu 5']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri']
animeVoices	[]
animeStaff	[['Itagaki, Shin', 'Director, Character Design'], ['Yashikin', 'Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition'], ['Piyo', 'Original Character Design'], ['Terada, Tsugeo', 'Original Creator']]
