animeTitle	Pokemon Masters: Trainers Great Gathering Special Animation
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	707
animeRank	
animePopularity	9961
animeDescription	"Original special animated trailer made to promote the release of the game Pokémon Masters.

(Source: Bulbapedia)"
animeRelated	[]
animeCharacters	['Takeshi', 'Mei', 'Pikachu', 'Kasumi', 'Shirona', 'Ookido, Green', 'Cheren', 'Erika', 'Corni']
animeVoices	['Toriumi, Kousuke', 'Toyosaki, Aki', 'Sakura, Ayane', 'Sonozaki, Mie', 'Oosaka, Ryouta', 'Abe, Atsushi', 'Kayano, Ai', 'Minami, Wakana']
animeStaff	[['Asada, Yuuji', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Iwane, Masaaki', 'Character Design'], ['Nakano, Katsuhiro', 'Sound Effects']]
