animeTitle	b'Kogitsune no Shouboutai'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The three kitsune brothers have moved away from the country and into the city. They use their transformation powers to become young men and start firefighting school to become firefighters.'
animeRelated	[b'Kogitsune no Okurimono', b'Kogitsune no Koutsuu Anzen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
