animeTitle	Choujikuu Seiki Orguss 02
animeType	OVA
animeNumEpisode	6
releaseDate	1993-12-05 00:00:00
endDate	1995-04-25 00:00:00
animeNumMembers	3097
animeScore	6.68
animeUsers	1043
animeRank	5178
animePopularity	8301
animeDescription	"Years of political tension and mistrust between the two rival nations of Zafran and Revillia escalate to the point of war. Each nations solution: to gain possession of Decimators, the same ancient robots of war that nearly ended all life on the planet 200 years before. As the war ensues and the leaders of both nations become reluctant to surrender, only the desperate plan of Lean, a young cadet, and Nataruma, a psychically gifted young woman, to alter the timeline of events 200 years before stands the chance between humanity's survival or absolute destruction. 
(Source: ANN)"
animeRelated	['Choujikuu Seiki Orguss']
animeCharacters	['Manning', 'Miran', 'Lean', 'Nataruma', 'Taii', 'Kerachi', 'Toria', 'Perion']
animeVoices	['Yamadera, Kouichi', 'Sakakibara, Yoshiko', 'Oota, Shinichirou', 'Nakamura, Naoko', 'Akimoto, Yousuke', 'Yamazaki, Wakana', 'Shioya, Kouzou']
animeStaff	[['Takayama, Fumihiko', 'Director, Storyboard, Original Creator'], ['Oishi, Tatsuya', 'In-Between Animation'], ['Iso, Mitsuo', 'Key Animation'], ['Kobayashi, Shichiro', 'Art Director']]
