animeTitle	Kiki to Lala no Habatake! Pegasus
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14612
animeDescription	Kiki and Lala try to help a lost Pegasus get home. Pegasus keeps getting on Kiki's nerves with his foolishness and the journey becomes increasingly difficult.
animeRelated	['Kiki to Lala no Aoi Tori']
animeCharacters	['Lala', 'Kiki']
animeVoices	[]
animeStaff	[['Hata, Masami', 'Director'], ['Tamano, Harumi', 'Episode Director'], ['Matsuda, Akihiko', 'Sound Effects']]
