animeTitle	Tomoko-chan to Watashi
animeType	OVA
animeNumEpisode	1
releaseDate	2003-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16985
animeDescription	"A film meant to show how to deal with ""lively"" children in the classroom. 

While not outwardly stated, Tomoko-chan may have some form of ADD or mild autism or both as most kids her age are lively but Tomoko-chan is more wound up than regular children."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
