animeTitle	Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15808
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Dokin-chan', 'Currypanman', 'Cheese', 'Katsudonman', 'Oji-san, Jam', 'Shokupanman', 'Kamameshidon', 'Nyanja']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Tsuru, Hiromi']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Maeda, Minoru', 'Animation Director, Character Design'], ['Yanase, Takashi', 'Original Creator'], ['Izumi, Taku', 'Music']]
