animeTitle	b'Ore dake Haireru Kakushi Dungeon'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	120880
animeRank	
animePopularity	
animeDescription	b'Despite his noble title, Noir Starga is at the bottom of the social hierarchy. Because of this, his fellow nobles oppress him and treat him like garbage. However, he possesses a rare yet powerful ability to communicate with the Great Sage, an oracle who grants Noir the answer to absolutely anything.\n\nAfter failing to secure a job as a librarian, Noir decides to join the Hero Academy. He knows he must become stronger to enter the institution. The Great Sage advises him to explore a hidden dungeon deep within the mountains. There, Noir meets Olivia Servant, a beautiful yet enchained maiden trapped within the labyrinth. Olivia bestows upon Noir a set of ridiculously powerful skills that grants him virtually total control over reality. Naturally, there is a catch\xe2\x80\x94every time Noir attempts to use his powers, his life points decrease, putting his life at risk. To replenish his energy, he must give in to worldly pleasures such as kissing his childhood friend!\n\nWith his newfound powers, Noir begins his journey as a student in the Hero Academy, meeting new acquaintances and helping them through the dire situations ahead.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Ore dake Haireru Kakushi Dungeon: Kossori Kitaete Sekai Saikyou', b'Doki Doki! Mini Mini! Kakushi Dungeon Gekijou']
animeCharacters	[b'Brightness, Emma', b'Stalgia, Noir', b'Servant, Olivia', b'Lola', b'Luna', b'Stongs, Elna', b'Starga, Alice', b'Fianna Albert, Maria', b'Amane']
animeVoices	[b'\nTomita, Miyu\nJapanese\n', b'\nOosaka, Ryouta\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nKitou, Akari\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nNagano, Yuki\nJapanese\n', b'\nKitamori, Saika\nJapanese\n', b'\nUchimura, Fumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOonishi, Kenta\n\nDirector\n\n', b'\nMorishita, Hiroto\n\nSound Director\n\n', b'\nCoala Mode.\n\nTheme Song Performance\n\n', b'\nSeto, Meguru\n\nOriginal Creator\n\n']
