animeTitle	Kizu darake no Tenshi-tachi
animeType	OVA
animeNumEpisode	1
releaseDate	1990-01-22 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13518
animeDescription	"Thirty-one stories based on the fourpanel manga strips drawn by Masahiko Kikuni for Young Sunday magazine make up this anime that mixes animation and live action (18 animated stories, 13 live-action stories).

(Source: The Anime Encyclopedia)"
animeRelated	['Kizu darake no Tenshi-tachi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
