animeTitle	Yuragi-sou no Yuuna-san OVA
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	21351
animeRank	
animePopularity	2564
animeDescription	"Bundled with the 11th, 12th, 13th and 24th volumes of the Yuragi-sou no Yuuna-san manga. The first episode will adapt the manga's 12th chapter. 

The last OVA will adapt the 99th chapter of the manga, ""Noroware no Kogarashi,"" and the 141st chapter, ""Giri Giri!? Onsen Happening."""
animeRelated	['Yuragi-sou no Yuuna-san']
animeCharacters	['Yunohana, Yuuna', 'Fuyuzora, Kogarashi', 'Miyazaki, Chisaki', 'Ameno, Sagiri', 'Fushiguro, Yaya', 'Arahabaki, Nonko', 'Shintou, Oboro', 'Ameno, Hibari', 'Hiougi, Karura', 'Chitose, Nakai']
animeVoices	['Shimabukuro, Miyuri', 'Ono, Yuuki', 'Suzuki, Eri', 'Takahashi, Rie', 'Ogura, Yui', 'Kakuma, Ai', 'Komatsu, Mikako', 'Inoue, Honoka', 'Harada, Sayaka']
animeStaff	[['Miura, Tadahiro', 'Original Creator']]
