animeTitle	b'Senki Zesshou Symphogear'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	38022
animeRank	
animePopularity	
animeDescription	"b'Tsubasa Kazanari and Kanade Amou\xe2\x80\x94the idol duo known as Zwei Wing\xe2\x80\x94use their songs to power ancient weapons known as ""symphogears"" to combat a deadly alien race called the ""Noise."" While the general public is aware of the Noise\'s existence, knowledge of the symphogears are kept a secret. When the Noise attack one of Zwei Wing\'s concerts, Kanade sacrifices herself to protect a young girl named Hibiki Tachibana, leaving Tsubasa devastated and a fragment of her symphogear embedded within Hibiki.\n\nTwo years pass and Hibiki is once again dragged into a Noise attack. While rescuing a young girl who has been left behind during the evacuation, she awakens the power of Kanade\'s symphogear lying within her. Although Tsubasa still grieves over the loss of Kanade, both girls must now learn to work together using their powers to defend humanity against the Noise.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Senki Zesshou Symphogear', b'Senki Zesshou Symphogear G']
animeCharacters	[b'Yukine, Chris', b'Tachibana, Hibiki', b'Kazanari, Tsubasa', b'Kohinata, Miku', b'Amou, Kanade', b'Kazanari, Genjuurou', b'Itaba, Yumi', b'Ogawa, Shinji', b'Sakurai, Ryouko', b'Tomosato, Aoi']
animeVoices	[b'\nTakagaki, Ayahi\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nIshikawa, Hideo\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nSeto, Asami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItou, Tatsufumi\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nEgami, Kiyoshi\n\nEpisode Director\n\n', b'\nYoshida, Tooru\n\nEpisode Director, Key Animation\n\n']
