animeTitle	Night Wizard
animeType	TV
animeNumEpisode	13
releaseDate	2007-10-03 00:00:00
endDate	2007-12-26 00:00:00
animeNumMembers	34783
animeScore	6.67
animeUsers	13394
animeRank	5220
animePopularity	3039
animeDescription	"Night Wizard. A term given to those whose mission is to protect the world from impending darkness. Renji Hiiragi is one such Night Wizard, who is constantly called on missions, even though all he wants is to be able to go to school and graduate. 

However, his latest order was to protect Elis Shiho, who is a new transfer student at his academy. Being dragged into the Astronomy Club by Renji's childhood friend, Kureha Akabane on her first day at school, Elis soon realises that she too, has the power to become a night wizard, after possessing one of seven secret Jewels, the Jewel of Kindness. 

Along with Renji and Kureha, Elis now begins her fight and her new life, as a Night Wizard

(Source: ANN)"
animeRelated	[]
animeCharacters	['Himuro, Akari', 'Hiiragi, Renji', 'Anzelotte', 'Zephyr, Bell', 'Kirihito', 'Shihou, Elis', 'Akabane, Kureha', 'Nightmare', 'Mu, RaRa', 'Andou, Kurusu']
animeVoices	['Kogure, Ema', 'Yanagi, Naoki', 'Gotou, Yuuko', 'Watanabe, Akeno', 'Miyazaki, Ui', 'Satou, Rina', 'Hiyama, Nobuyuki', 'Hisakawa, Aya', 'Tanaka, Hideyuki']
animeStaff	[['Yamamoto, Yuusuke', 'Director, Episode Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Miyamoto, Yukihiro', 'Episode Director'], ['Kumazawa, Yuuji', 'Episode Director']]
