animeTitle	Yami Shibai 6
animeType	TV
animeNumEpisode	13
releaseDate	2018-07-07 00:00:00
endDate	2018-09-29 00:00:00
animeNumMembers	
animeScore	6.14
animeUsers	7614
animeRank	
animePopularity	4284
animeDescription	"Late at night, in a clearing within a dark fog-filled forest, there sits a kamishibai storyboard. A visitor approaches, and suddenly, the fog recedes. A shape begins to take form beside the board—this figure is the masked Storyteller, who once again starts to spin tales of horror and despair.

The events described in these macabre tales might happen to anyone, even your neighbors or friends: a group of girls bully one of their members in a cave, only to find themselves the victims of a dark presence; a boy with scopophobia moves to the countryside, but he still cannot escape the eyes of others; a man has a window that won't stay closed, and is the recipient of strange phone calls; and a salaryman steals an umbrella on a rainy day, but this seemingly insignificant act leads to consequences he never expected. Visitors may enjoy the Storyteller's offerings, but they should also be vigilant so that they don't wind up as the subjects of his next story.

[Written by MAL Rewrite]"
animeRelated	['Yami Shibai 5', 'Yami Shibai 7']
animeCharacters	['Storyteller']
animeVoices	['Tsuda, Kanji']
animeStaff	[['Hosoya, Nobuyuki', 'Producer'], ['Funada, Akira', 'Producer'], ['Kumamoto, Hiromu', 'Script'], ['Banba, Susumu', 'Storyboard']]
