animeTitle	Precure All Stars GoGo Dream Live!
animeType	Special
animeNumEpisode	1
releaseDate	2008-11-08 00:00:00
endDate	
animeNumMembers	
animeScore	6.84
animeUsers	1290
animeRank	
animePopularity	8053
animeDescription	A special included in the Eiga Yes! Precure 5 GoGo! Okashi no Kuni no Happy Birthday movie.
animeRelated	['Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday', 'Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!']
animeCharacters	['Misumi, Nagisa', 'Yukishiro, Honoka', 'Yumehara, Nozomi', 'Kasugano, Urara', 'Hyuuga, Saki', 'Akimoto, Komachi', 'Minazuki, Karen', 'Mimino, Kurumi', 'Kujou, Hikari', 'Mishou, Mai']
animeVoices	['Honna, Youko', 'Yukana', 'Sanpei, Yuuko', 'Ise, Mariya', 'Kimoto, Orie', 'Nagano, Ai', 'Maeda, Ai', 'Sendai, Eri', 'Tanaka, Rie', 'Enomoto, Atsuko']
animeStaff	[['Ootsuka, Takashi', 'Director'], ['Shida, Naotoshi', 'Key Animation']]
