animeTitle	Nougyou Musume!
animeType	Special
animeNumEpisode	1
releaseDate	2010-10-07 00:00:00
endDate	
animeNumMembers	
animeScore	5.13
animeUsers	811
animeRank	
animePopularity	10172
animeDescription	"A 3 minute promotional episode of Nougyou Musume, titled Episode 0.

The story centers around Hikari and Hikaru Koshino, two sisters who take care of the paddy they inherited from their parents.

Together, the sisters grow rice and hang out with their friends in the local area.

(Source: Neregate)"
animeRelated	[]
animeCharacters	['Hanabata, Kirari', 'Miyagi, Komachi', 'Kuroba, Michiru', 'Koshino, Hikaru', 'Koshino, Hikari', 'Fuji, Natsume', 'Kure, Ayumi']
animeVoices	['Takaoka, Kaori', 'Hirota, Shion', 'Shindou, Kei', 'Tsuji, Ayumi', 'Mikami, Shiori', 'Mizuhara, Kaoru', 'Hatanaka, Saki']
animeStaff	[['Moriyama, Yoshihide', 'Producer'], ['Yoshihara, Tatsuya', 'Key Animation'], ['Funta', 'Music'], ['Sunagawa, Masakazu', 'Key Animation, Character Design, Animation Director']]
