animeTitle	Watashi to Piano
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17587
animeDescription	Music video for a song by Junko Yagami that was featured on NHK's Minna no Uta program. Originally released in April 1991 as Watashi to Piano, the title was changed to Piano to Watashi when it was rebroadcast in August that same year. The video features illustrations by Seiichi Hayashi which were animated by Yumiko Kanaumi.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
