animeTitle	Futakoi
animeType	TV
animeNumEpisode	13
releaseDate	2004-10-06 00:00:00
endDate	2004-12-29 00:00:00
animeNumMembers	
animeScore	6.47
animeUsers	14668
animeRank	
animePopularity	3148
animeDescription	"With his mother dead and his father working abroad, Futami Nozomu returns to the town where he lived as a child, to attend high school and work part-time at a local shrine. He soon finds himself caught up in a local legend of twin girls loving the same man. And there are many twin girls in this town....

(Source: ANN)"
animeRelated	['Futakoi Alternative']
animeCharacters	['Sakurazuki, Kira', 'Sakurazuki, Yura', 'Ichijou, Kaoruko', 'Ichijou, Sumireko', 'Futami, Nozomu', 'Shirogane, Sara', 'Shirogane, Souju', 'Hinagiku, Lulu', 'Hinagiku, Lala', 'Momoi, Mai']
animeVoices	['Itsuki, Yui', 'Tsunakake, Hiromi', 'Horie, Yui', 'Koshimizu, Ami', 'Takagi, Motoki', 'Mizuhashi, Kaori', 'Kadowaki, Mai', 'Hasegawa, Shizuka', 'Hase, Yurina', 'Sango, Minako']
animeStaff	[['Tomisawa, Nobuo', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['eufonius', 'Theme Song Performance'], ['Yokotani, Masahiro', 'Screenplay']]
