animeTitle	b'Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji'
animeType	b'TV'
animeNumEpisode	60
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan', b'Xi Yangyang Yu Hui Tailang: Faming Da Zuozhan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
