animeTitle	Buddy Spirits
animeType	ONA
animeNumEpisode	1
releaseDate	2013-09-03 00:00:00
endDate	
animeNumMembers	
animeScore	5.3
animeUsers	286
animeRank	
animePopularity	12070
animeDescription	"In 202x, robots have become essential partner for humans. One day, a silver security robot went out of control regardless of its emergency shutdown and people were in panic. The robot military unit ""SARF"" established in the metropolitan police begins their mission!

(Source: Hero's web)"
animeRelated	['Buddy Spirits']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
