animeTitle	Pororo Hanguk-e Wass-eoyo
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14801
animeDescription	"Korean Culture and Information Service, Ministry of Culture, Sports and Tourism commissioned a Pororo short to promote Korean travel to English speaking youths across the world and to domestic youths to explore their own country.

The is the first Pororo work to feature humans. The story is split into 4 chunks for the single episode."
animeRelated	['Porong Porong Pororo 2']
animeCharacters	['Pororo']
animeVoices	[]
animeStaff	[]
