animeTitle	Hello Harinezumi: Satsui no Ryoubun
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	1088
animeRank	
animePopularity	8595
animeDescription	"One stormy night, a young woman is shot to death on a cliff; her body is found floating in the waters below the next morning. She was last seen with a man who is now being sought not only for her death. Meanwhile, an estranged wife hires Goro, a private investigator, to find her husband. Alongside another member of law enforcement with his own motives for finding the man, Goro sets forth on a trail of tragedy and intrigue to find the reason and connection behind the murders and missing husband.

(Source: Anime-Planet; edited)"
animeRelated	['Hello Harinezumi']
animeCharacters	['Nanase, Goro', 'Azusa, Yumeko', 'Kogure, Kyusaku', 'Shitawara, Ranko', 'Kaze, Kahoru', 'Toyama, Sayoko', 'Toyama, Sayaka', 'Mama', 'Toyama, Tsuyoshi', 'Toyama, Keita']
animeVoices	['Nakahara, Shigeru', 'Hisakawa, Aya', 'Ikeda, Masaru', 'Orikasa, Ai', 'Yamada, Eiko', 'Andou, Arisa', 'Minami, Kyoko', 'Inoue, You', 'Umezu, Hideyuki', 'Emori, Hiroko']
animeStaff	[['Suzuki, Iku', 'Director'], ['Sinterniklaas, Michael', 'ADR Director'], ['Hirokane, Kenshi', 'Original Creator'], ['Kawanami, Masaaki', 'Character Design']]
