animeTitle	"b""Suzy's Zoo: Daisuki! Witzy"""
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	203
animeRank	
animePopularity	
animeDescription	"b""The Japanese television network TBS announced that it will start airing the Suzy's Zoo Daisuki! Witzy series of television anime shorts this April. The anime adapts the American greeting card line Suzy's Zoo from the San Diego-based artist Suzy Spafford. \n\nThe story will center around a duckling named Witzy and his stuffed animal friends in a verdant backyard.\n\n(Source: ANN) """
animeRelated	"[b""Suzy's Zoo: Daisuki! Witzy - Happy Birthday""]"
animeCharacters	[b'Narrator', b'Witzy', b'Funt, Ellie', b'Boof', b'Lulla', b'Patches']
animeVoices	[b'\nSakamoto, Maaya\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nGotou, Saori\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOhara, Hidekazu\n\nDirector\n\n', b'\nFujita, Akiko\n\nSound Director\n\n', b'\nMaeguchi, Wataru\n\nMusic\n\n']
