animeTitle	Ichigo 100% Special 2
animeType	Special
animeNumEpisode	1
releaseDate	2005-12-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	9406
animeRank	
animePopularity	4255
animeDescription	Yui's father forbids Yui from staying at Junpei's house and decides she'll attend a local High School instead of Oumi Academy. Junpei visits with the intention of straightening out a misunderstanding for Yui's sake. Episode takes place prior to Episode 10 of Ichigo 100% TV series.
animeRelated	['Ichigo 100%']
animeCharacters	['Nishino, Tsukasa', 'Toujou, Aya', 'Kitaouji, Satsuki', 'Manaka, Junpei', 'Minamito, Yui', 'Sotomura, Misuzu']
animeVoices	['Noto, Mamiko', 'Kobayashi, Sanae', 'Suzumura, Kenichi', 'Mizuki, Nana']
animeStaff	[['Kawashita, Mizuki', 'Original Creator']]
