animeTitle	Zeno: Kagirinaki Ai ni
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	156
animeRank	
animePopularity	12371
animeDescription	Zeno: Kagirinaki Ai ni is a movie about life and work of Brother Zenon Zebrowski, a Polish missionary in Japan. Brother Zenon was renown for his charitable work among victims of war and the poor in Japan.
animeRelated	[]
animeCharacters	"['Żebrowski, Zenon', ""Gentarou's Mother""]"
animeVoices	['Hirata, Yasuyuki', 'Kaji, Meiko']
animeStaff	[['Ui, Takashi', 'Director'], ['Chiba, Shigeki', 'Script'], ['Okada, Kazuo', 'Art Director']]
