animeTitle	Ashita e Attack!
animeType	TV
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	491
animeRank	
animePopularity	9776
animeDescription	"This drama tells the story of girls in high school. Girls who love to play volleyball form a team in their school. Although the team starts out as a weak and unorganized sport club, over time the girls’ extraordinary passion and endeavor enables their team to become one of the best organized and highly recognized teams at the school. Now they aim to win the championship in the National High School Volleyball League. Although it is painful and hard to achieve such a goal, it is nice to have friends to share the feeling, especially the joy. Through volleyball, the girls learn and experience many lessons in life as they grow up. Let’s share their laughter.

(Source: Nippon Animation)"
animeRelated	[]
animeCharacters	['Hijiri, Mimi', 'Ichijou, Asuka', 'Shiraki, Rumi', 'Nishi, Sumie', 'Sekiya, Kimiko', 'Hara, Daisuke', 'Oota, Tomiko', 'Narrator', 'Sugihara, Yukari']
animeVoices	['Koyama, Mami', 'Yoshida, Rihoko', 'Nobusawa, Mieko', 'Yokozawa, Keiko', 'Matsukane, Yoneko', 'Inoue, Makio', 'Aoki, Kazuyo', 'Tomiyama, Kei', 'Komiya, Kazue']
animeStaff	[['Kurokawa, Fumio', 'Director, Storyboard'], ['Hayakawa, Keiji', 'Storyboard'], ['Okuda, Seiji', 'Storyboard'], ['Horie, Mitsuko', 'Theme Song Performance']]
