animeTitle	Kamiusagi Rope 2
animeType	Movie
animeNumEpisode	12
releaseDate	2010-11-01 00:00:00
endDate	2011-12-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14431
animeDescription	The sequel to Kamiusagi Rope; it also aired in between commercials at theaters.
animeRelated	['Kamiusagi Rope', 'Kamiusagi Rope 2 Specials', 'Kamiusagi Rope 3', 'Kamiusagi Rope x TOHO Cinemas', 'Kamiusagi Rope x TOHO Cinemas (Movies)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
