animeTitle	Ucchare Goshogawara
animeType	OVA
animeNumEpisode	1
releaseDate	1991-10-25 00:00:00
endDate	
animeNumMembers	383
animeScore	
animeUsers	
animeRank	13997
animePopularity	13721
animeDescription	"Musashi Mountain High School third grade Goshogawara is the only member of his school's sumo club. In order to take part in competitions, he tries to attract more members, and thanks to his enthusiasm and sincerity four more people join the club: judo team captain Kaoru Kiyokawa; pro wrestler Takayuki Kannai; skinny thug wannabe Nanno Ippei; and Raiden Goro, a giant guy but a very shy person who also happens to be an expert Go player. The five train together and later take part in a competition against a professional sumo club.

(Source: Wikipedia)"
animeRelated	['Ucchare Goshogawara']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
