animeTitle	b'Nuwa Chengzhang Riji'
animeType	b'ONA'
animeNumEpisode	30
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	438
animeRank	
animePopularity	
animeDescription	"b'This story follows an orphan girl rumoured to be a successor of ""Nuwa"", the goddess of creation in ancient Chinese mythology.'"
animeRelated	[]
animeCharacters	[b'Yang, Yen', b'Jiang, Li', b'Li, Chang', b'Feng, Xiao Xiao']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nXiong, Ke\n\nDirector\n\n']
