animeTitle	Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.
animeType	OVA
animeNumEpisode	1
releaseDate	2014-03-28 00:00:00
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	24442
animeRank	
animePopularity	2623
animeDescription	"OVA included with special edition of volume 5 of the Mikakunin de Shinkoukei manga.

Mashiro and Kobeni share with each other a story from their pasts. Kobeni retells an episode of her childhood with Benio and Nadeshiko while Mashiro describes one of her days back on her home in the mountains."
animeRelated	['Mikakunin de Shinkoukei']
animeCharacters	['Mitsumine, Mashiro', 'Yonomori, Kobeni', 'Mitsumine, Hakuya', 'Yonomori, Benio', 'Kashima, Nadeshiko', 'Mitsumine, Shirayuki']
animeVoices	['Yoshida, Yuuri', 'Terui, Haruka', 'Hatano, Wataru', 'Matsui, Eriko', 'Sakura, Ayane', 'Komagata, Yuri']
animeStaff	[['Hamano, Kazuzou', 'Sound Director'], ['Arai, Cherry', 'Original Creator'], ['Kuwano, Takafumi', 'Director of Photography'], ['Ojiri, Shinya', 'Chief Animation Director']]
