animeTitle	Tennis no Ouji-sama: Oshougatsu Special
animeType	Special
animeNumEpisode	1
releaseDate	2003-03-07 00:00:00
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	2847
animeRank	
animePopularity	6332
animeDescription	This New Year special episode is a recap of the first episodes 1 to 12. However, there is a curious tournament with the regular players too.
animeRelated	['Tennis no Ouji-sama']
animeCharacters	['Echizen, Ryouma', 'Fuji, Shuusuke', 'Tezuka, Kunimitsu', 'Kikumaru, Eiji', 'Kaidou, Kaoru', 'Momoshiro, Takeshi', 'Inui, Sadaharu', 'Kawamura, Takashi', 'Oishi, Shuichiro', 'Echizen, Nanjiro']
animeVoices	['Minagawa, Junko', 'Kaida, Yuki', 'Okiayu, Ryoutarou', 'Takahashi, Hiroki', 'Kiyasu, Kohei', 'Onosaka, Masaya', 'Tsuda, Kenjirou', 'Kawamoto, Naru', 'Kondou, Takayuki', 'Matsuyama, Takashi']
animeStaff	[['Konomi, Takeshi', 'Original Creator']]
