animeTitle	Aa! Megami-sama!
animeType	OVA
animeNumEpisode	5
releaseDate	1993-02-21 00:00:00
endDate	1994-05-17 00:00:00
animeNumMembers	48787
animeScore	7.31
animeUsers	24739
animeRank	2360
animePopularity	2526
animeDescription	When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in. 
animeRelated	['Aa! Megami-sama!', 'Aa! Megami-sama! (TV)', 'Aa! Megami-sama! Movie', 'Aa! Megami-sama! (2011)']
animeCharacters	['Belldandy', 'Urd', 'Morisato, Keiichi', 'Skuld', 'Morisato, Megumi', 'Mishima, Sayoko', 'Aoyama, Otaki', 'Tamiya, Toraichi', 'Hasegawa, Sora', 'Aoshima, Toshiyuki']
animeVoices	['Inoue, Kikuko', 'Touma, Yumi', 'Ogata, Megumi', 'Hisakawa, Aya', 'Fuchizaki, Yuriko', 'Asami, Junko', 'Futamata, Issei', 'Yanada, Kiyoyuki', 'Ootani, Ikue', 'Tobita, Nobuo']
animeStaff	[['Gouda, Hiroaki', 'Director'], ['Masunari, Koji', 'Episode Director, Storyboard'], ['Inoue, Kikuko', 'Theme Song Performance'], ['Hisakawa, Aya', 'Theme Song Performance']]
