animeTitle	Kick no Oni
animeType	TV
animeNumEpisode	26
releaseDate	1970-10-02 00:00:00
endDate	1971-03-26 00:00:00
animeNumMembers	
animeScore	6.22
animeUsers	161
animeRank	
animePopularity	11654
animeDescription	"An arrogant karate master named Tadashi Sawamura enters the kickboxing ring to prove his superiority, only to be beaten into a coma by a practictioner of the new art. After recovering, his trainer Endo convinced Sawamura to study kickboxing in order to regain his honor. The series is loosely based on the real-life exploits of champion kickboxer Tadashi Sawamura.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Sawamura, Tadashi', 'Osamu, Noguchi']
animeVoices	['Asakura, Kouji', 'Kobayashi, Kiyoshi']
animeStaff	[['Nishizawa, Nobutaka', 'Episode Director'], ['Kuroda, Yoshio', 'Episode Director'], ['Yamaguchi, Yasuo', 'Episode Director'], ['Andou, Toyohiro', 'Script']]
