animeTitle	Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	6997
animeRank	
animePopularity	4637
animeDescription	"Nao looks over her 'Big Brother's Perverted Habits Diary,' looking over Shusuke's misfortune with seeking out various porn.

(Source: Wikipedia)"
animeRelated	['Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!']
animeCharacters	['Takanashi, Nao', 'Tsuchiura, Iroha', 'Kondou, Mayuka', 'Takanashi, Shuusuke', 'Takanashi, Nanaka', 'Kishikawa, Keiichiro']
animeVoices	['Kitamura, Eri', 'Inoue, Marina', 'Aranami, Kazusa', 'Toyonaga, Toshiyuki', 'Ohara, Sayaka', 'Tachibana, Shinnosuke']
animeStaff	[]
