animeTitle	Heisei Harenchi Gakuen
animeType	OVA
animeNumEpisode	1
releaseDate	1996-03-01 00:00:00
endDate	
animeNumMembers	1415
animeScore	5.13
animeUsers	397
animeRank	
animePopularity	10290
animeDescription	"A modern-day version of Go Nagai's manga Harenchi Gakuen (Shameless School).

(Source: AniDB)"
animeRelated	['Harenchi Gakuen', 'Heisei Harenchi Gakuen']
animeCharacters	['Yagyuu, Mitsuko', 'Yamagishi, Yasohachi', 'Yoshinaga, Sayuri', 'Marugoshi-sensei']
animeVoices	['Takiguchi, Junpei']
animeStaff	[['Nagai, Go', 'Original Creator']]
