animeTitle	Toshi Souzou Gakubu Shoukai
animeType	ONA
animeNumEpisode	2
releaseDate	2015-09-15 00:00:00
endDate	2015-10-18 00:00:00
animeNumMembers	386
animeScore	
animeUsers	
animeRank	13917
animePopularity	13692
animeDescription	"PVs for Asia University Department of Urban Innovation. The 1st video follows a student (played by Miho Tabata) in the department's program as she pursues her dream of building modern, comfortable cities through college lectures and interactive seminars. She goes on to study at Western Washington University in the U.S., a popular destination for Asian students studying overseas. At the video's end she has attained her dream by consulting on construction of a Japanese-themed shopping mall in Kuala Lumpur, Malaysia (""I'm building a town here that will make people happy!"").

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
