animeTitle	Sin: The Movie
animeType	OVA
animeNumEpisode	1
releaseDate	2000-10-24 00:00:00
endDate	
animeNumMembers	4751
animeScore	5.15
animeUsers	2429
animeRank	11202
animePopularity	7139
animeDescription	"In Sin, Blade must unravel a series of mysterious kidnappings. As he delves into the city's merciless underworld, an elaborate mystery unfold; at is heart, the SinTEK corporation and its leader, the ruthless and beautiful Elexis Sinclair. A Brilliant biochemist, Sinclair will stop at nothing to achieve her goal: a plan that could force the next step of human evolution-or spell doom for mankind.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Blade, John', 'Armack, Jennifer Christina', 'Sinclaire, Elexis', 'Tim', 'Stewart, Elyse Mary', 'Armack, John Christopher', 'Manchini, Vincenzo']
animeVoices	['Ishii, Kouji', 'Inoue, Kikuko', 'Miki, Shinichiro', 'Kawasumi, Ayako', 'Ishimaru, Hiroya', 'Ootsuka, Akio']
animeStaff	[['Shizuno, Koubun', 'Co-Director'], ['Foster, Steven', 'ADR Director'], ['Amano, Masamichi', 'Music']]
