animeTitle	Osu
animeType	Movie
animeNumEpisode	1
releaseDate	1962-11-05 00:00:00
endDate	
animeNumMembers	3133
animeScore	5.26
animeUsers	1887
animeRank	10997
animePopularity	8258
animeDescription	A cat just wants some alone time with his girl, but is interrupted by his stressed owner. Can't those stupid humans just keep things like relationships simple?
animeRelated	[]
animeCharacters	['Male Cat']
animeVoices	[]
animeStaff	[['Tezuka, Osamu', 'Director'], ['Yamamoto, Eiichi', 'Episode Director, Original Creator']]
