animeTitle	Musashi no Ken
animeType	TV
animeNumEpisode	72
releaseDate	
endDate	
animeNumMembers	
animeScore	7.12
animeUsers	365
animeRank	
animePopularity	9302
animeDescription	Musashi no Ken is the story of a boy named Musashi who aims to be the Kendo champion.  Part of the anime is him as a child, and part is of him as an adult.
animeRelated	['Musashi no Ken']
animeCharacters	['Natsuki, Musashi', 'Todoroki, Ranko', 'Kazato, Mina', 'Takahashi', 'Akutsu', 'Fukazawa', 'Tagusari', 'Oomura', 'Sugawara', 'Shibuya']
animeVoices	['Horikawa, Ryo', 'Ikura, Kazue', 'Tomizawa, Michie', 'Kondou, Reiko', 'Tobita, Nobuo', 'Tsunoda, Narumi', 'Kitou, Satoko', 'Narahashi, Miki']
animeStaff	[['Tsunoda, Toshitaka', 'Director'], ['Kinoshita, Yuuki', 'Episode Director, Animation Director'], ['Tonokatsu, Hideki', 'Episode Director'], ['Asada, Yuuji', 'Episode Director']]
