animeTitle	Kamisama Hajimemashita OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2013-08-20 00:00:00
endDate	
animeNumMembers	105339
animeScore	8.01
animeUsers	54173
animeRank	546
animePopularity	1555
animeDescription	"Two OVA episodes bundled with the 16th volume of the manga.

One of the included episodes is based on the story from the 15th volume, while the other contain an all-new original story.

(Source: ANN)"
animeRelated	['Kamisama Hajimemashita']
animeCharacters	['Tomoe', 'Momozono, Nanami', 'Mizuki', 'Kurama, Shinjirou', 'Mouri, Kirihito', 'Mikage', 'Numa no Himemiko', 'Otohiko', 'Urashima, Kotarou', 'Narrator']
animeVoices	['Tachibana, Shinnosuke', 'Mimori, Suzuko', 'Okamoto, Nobuhiko', 'Kishio, Daisuke', 'Suwabe, Junichi', 'Ishida, Akira', 'Horie, Yui', 'Takahashi, Hiroki', 'Kimura, Ryouhei', 'Yamazaki, Vanilla']
animeStaff	[['Daichi, Akitarou', 'Director'], ['Hanae', 'Theme Song Performance'], ['Masuda, Toshio', 'Music'], ['Suzuki, Julietta', 'Original Creator']]
