animeTitle	b'Doraemon Movie 33: Nobita no Himitsu Dougu Museum'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.4
animeUsers	3057
animeRank	
animePopularity	
animeDescription	"b""On a normal afternoon, Doraemon's bell was stolen by Kaito Deluxe, a thief from the 22nd Century. Determined to get it back, Nobita and co. decides to pursue him and take back the bell that is hidden inside the 22nd Century's Secret Gadget Museum.\n\n(Source: ANN)"""
animeRelated	[b'Doraemon (2005)']
animeCharacters	[b'Doraemon', b'Nobi, Nobita', b'Minamoto, Shizuka', b'Honekawa, Suneo', b'Gouda, Takeshi', b'Dorami', b'Nobi, Sewashi', b'Hartman, Kurt']
animeVoices	[b'\nMizuta, Wasabi\nJapanese\n', b'\nOohara, Megumi\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nKimura, Subaru\nJapanese\n', b'\nSanpei, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTeramoto, Yukiyo\n\nDirector, Storyboard\n\n', b'\nPerfume\n\nTheme Song Performance\n\n', b'\nNakata, Yasutaka\n\nTheme Song Composition, Theme Song Arrangement, Theme Song Lyrics\n\n', b'\nFujiko, Fujio F.\n\nOriginal Creator\n\n']
