animeTitle	Kakutou Bijin Wulong
animeType	TV
animeNumEpisode	25
releaseDate	2005-10-10 00:00:00
endDate	2006-03-26 00:00:00
animeNumMembers	
animeScore	6.62
animeUsers	1201
animeRank	
animePopularity	6847
animeDescription	"At first glance, Mao Ran is a normal cute girl, but she is a master of a martial arts handed down by Mao family. One day, she is tricked by her grandfather, and forced to take part in the fighting match, ""Prime Mat"". First, she is reluctant to fight, but fighting against the rivals, she is gradually fascinated by the ""fighting"".

(Source: AnimeNfo)"
animeRelated	['Kakutou Bijin Wulong', 'Kakutou Bijin Wulong: Rebirth']
animeCharacters	['Mao, Lan', 'Li, Zang']
animeVoices	['Yamazaki, Wakana']
animeStaff	[['Suzuki, Yoshio', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Aiuchi, Rina', 'Theme Song Performance, Theme Song Lyrics'], ['U-ka Saegusa in db', 'Theme Song Performance, Theme Song Lyrics']]
