animeTitle	ACCA: 13-ku Kansatsu-ka - Regards
animeType	OVA
animeNumEpisode	1
releaseDate	2020-02-14 00:00:00
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	4715
animeRank	
animePopularity	4756
animeDescription	"Set in the capital city of Badon one year after the events of the TV anime, Jean and the rest of the ACCA department are preparing for the one-year anniversary of the establishment of the new order. For the characters — caught between rumors of unrest, unchanging days, new crossroads, gazes remembered in memories, and days of new beginnings — time once again begins to move forward.

(Source: ANN)"
animeRelated	['ACCA: 13-ku Kansatsu-ka']
animeCharacters	['Otus, Jean', 'Niino', 'Mauve', 'Otus, Lotta', 'Lilium', 'Groshular', 'Pine', 'Oulu', 'Pastice', 'Parrot']
animeVoices	['Shimono, Hiro', 'Tsuda, Kenjirou', 'Tanaka, Atsuko', 'Yuuki, Aoi', 'Yusa, Kouji', 'Suwabe, Junichi', 'Yasumoto, Hiroki', 'Ueda, Youji', 'Midorikawa, Hikaru', 'Kobayashi, Chiaki']
animeStaff	[['Natsume, Shingo', 'Director'], ['Saitou, Keiichirou', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Suzuki, Tomohiro', 'Script']]
