animeTitle	b'Sexy Sailor Soldiers'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.43
animeUsers	924
animeRank	
animePopularity	
animeDescription	"b'Nami Koishikawa\'s incredibly large breasts and luscious figure got her a lot of admirers, but she never really thought anything of it. Sure, she enjoyed wearing skimpy work uniforms that threatened to cause her breasts to pop out at any time, however those luscious curves get her into real trouble late one night when Nami rushes to the aid of an injured woman behind the restaurant where she works. The woman hands her a strange looking pendant and begs her to ""take her place""...\n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[b'Koishikawa, Nami']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOkazaki, Hideo\n\nDirector of Photography\n\n']
