animeTitle	Chou Kidou Densetsu DinaGiga
animeType	OVA
animeNumEpisode	2
releaseDate	1998-07-15 00:00:00
endDate	1998-08-26 00:00:00
animeNumMembers	1303
animeScore	4.88
animeUsers	432
animeRank	11589
animePopularity	10480
animeDescription	"Touno Hikari is learning to pilot robots at a training facility. While she cannot do anything right, her instructors are interested in her for some reason. As the students learn to pilot the robots, they become suspicious of the goal of the training facility. Marie Vlaanderen transfers into the facility, and her instructor says that Marie has been training for all of her life and has the best chance of awakening ""it"".

(Source: ANN)"
animeRelated	[]
animeCharacters	['Touno, Hikari', 'Vlaanderen, Marie', 'Izumizaki, Nana', 'Mutsu, Toshihiro', 'Kuji, Ayaka', 'Tanakura, Masao', 'Inamura, Airi', 'Unazuki, Nao']
animeVoices	['Omimura, Mayuko', 'Miyamura, Yuko', 'Ikezawa, Haruna', 'Onosaka, Masaya', 'Sakuma, Rei', 'Tobita, Nobuo', 'Mutou, Sumi', 'Iizuka, Mayumi']
animeStaff	[['Yoshinaga, Naoyuki', 'Director, Storyboard'], ['Yoshinari, Kou', 'Storyboard'], ['Yoshinari, You', 'Key Animation'], ['Matsumoto, Norio', 'Key Animation']]
