animeTitle	Aoi Triton
animeType	Special
animeNumEpisode	1
releaseDate	2002-03-22 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15435
animeDescription	Pilot movie of Umi no Triton, it was created in October 1971 for the intention of selling the series to international markets and features a more Western-style drawn Triton. The pilot was released to the public on the Umi no Triton: Original Gekijou-ban DVD release nearly 3 decades later.
animeRelated	['Umi no Triton', 'Umi no Triton (1979)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
