animeTitle	b'Akibakei Kanojo'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	5946
animeRank	
animePopularity	
animeDescription	"b'Shindo Nikita has a secret that he has been hiding for a long time\xe2\x80\x94he loves hentai and h-games. He enters ""The Alternative Trivia Research Club"" where the first of his many sexual encounters takes place. Despite that, he finds out that both of his foster sisters are in love with him, and he has to make a choice\xe2\x80\x94who does he really love? '"
animeRelated	[]
animeCharacters	[b'Shindou, Mei', b'Aoi, Ren', b'Shindou, Nikita', b'Misaki, Renka', b'Konoha, Hatoko', b'Akiyoshi, Tamae']
animeVoices	[b'\nWada, Kayo\nJapanese\n', b'\nNakata, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAwai, Shigeki\n\nDirector\n\n', b'\nSunaga, Naruhito\n\nScript, Screenplay\n\n', b'\nTanaka, Kouhei\n\nMusic\n\n', b'\nToshihide, Sano\n\nOriginal Character Design\n\n']
