animeTitle	C³
animeType	TV
animeNumEpisode	12
releaseDate	2011-10-01 00:00:00
endDate	2011-12-17 00:00:00
animeNumMembers	
animeScore	6.62
animeUsers	73461
animeRank	
animePopularity	1081
animeDescription	"From the light novel series written by Minase Hazuki, comes a story of love, action, and comedy. Yachi Haruaki is a high school boy who is naturally resistant to curses. After his father sends him a mysterious black cube, Haruaki awakes to find a nude girl named Fear standing in his kitchen. She’s the human form of the cursed black cube – and an instrument of torture! Utilizing her special abilities, Fear fights alongside Haruaki to defeat other cursed instruments and their owners.

(Source: FUNimation)"
animeRelated	['C³', 'C³: Rinkan Gakkou Confusion!']
animeCharacters	['Kubrick, Fear', 'Ueno, Kirika', 'Muramasa, Konoha', 'Yachi, Haruaki', 'Barroy, Peavy', 'Carlot, Amanda', 'Ningyouhara, Kuroe', 'Sakuramairi, Shiraho', 'Houjou, Ganon', 'Sekaibashi, Gabriel']
animeVoices	['Tamura, Yukari', 'Kitamura, Eri', 'Chihara, Minori', 'Kaji, Yuki', 'Ohara, Sayaka', 'Mako', 'Ogura, Yui', 'Saitou, Chiwa', 'Mitsuishi, Kotono', 'Ikeda, Shuuichi']
animeStaff	[['Oonuma, Shin', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Ishiguro, Kyouhei', 'Episode Director, Storyboard'], ['Sakamoto, Takashi', 'Episode Director, Storyboard']]
