animeTitle	Cookin' Idol Ai! Mai! Main!
animeType	TV
animeNumEpisode	305
releaseDate	2009-03-30 00:00:00
endDate	2013-03-22 00:00:00
animeNumMembers	
animeScore	6.23
animeUsers	209
animeRank	
animePopularity	9770
animeDescription	Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.
animeRelated	[]
animeCharacters	['Hiiragi, Main', 'Misanga', 'Kobayashi', 'Himekouji, Reia', 'Yuria', 'Gotou, Carmen', 'Yuma', 'Tokumaru', 'Amano, Seika', 'Kinako']
animeVoices	['Fukuhara, Haruka', 'Kobayashi, Akiko', 'Toyonaga, Toshiyuki', 'Miyamoto, Kanako', 'Yokoyama, Chisa', 'Oota, Tetsuharu', 'Iino, Mayu', 'Hotta, Masaru', 'Kasahara, Hiroko', 'Wakayama, Shion']
animeStaff	[['Hamano, Kazuzou', 'Sound Director'], ['Fukuhara, Haruka', 'Theme Song Performance'], ['Hirami, Miharu', 'Series Composition'], ['Takahashi, Maho', 'Art Director']]
