animeTitle	Osomatsu-san: Ouma de Kobanashi
animeType	Special
animeNumEpisode	1
releaseDate	2016-12-13 00:00:00
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	3995
animeRank	
animePopularity	5816
animeDescription	New Osomatsu-san special. 
animeRelated	['Osomatsu-san', 'Mutsugo to Ouma no Monogatari', 'Hashire! Osomatsu-san', 'Tokyo Girls Collection 2016 A/W x Osomatsu-san Special Movie', 'Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Juushimatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu', 'Iyami', 'Yowai, Totoko', 'Chibita', 'Hatabou']
animeVoices	['Fukuyama, Jun', 'Nakamura, Yuuichi', 'Ono, Daisuke', 'Sakurai, Takahiro', 'Kamiya, Hiroshi', 'Irino, Miyu']
animeStaff	[['Yamaguchi, Hikaru', 'Storyboard'], ['Kamiya, Hiroshi', 'Theme Song Performance'], ['Ono, Daisuke', 'Theme Song Performance'], ['Fukuyama, Jun', 'Theme Song Performance']]
