animeTitle	Kemushi no Boro
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	337
animeRank	
animePopularity	8668
animeDescription	"To humans, Boro the caterpillar's world is small; but as he takes his first steps in life, the trials he comes to face are enormous. From hungry predators to unforgiving weather, he must overcome these obstacles by himself on his great journey through the untamed wilderness of suburban Japan.

[Written by MAL Rewrite]
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
