animeTitle	Maou-sama, Retry!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	91320
animeRank	
animePopularity	976
animeDescription	"Akira Oono is an ordinary working adult who manages the MMORPG Infinity Game. Fifteen years after creating the game, Oono decides to shut the servers down once and for all. However, as the clock strikes midnight, he somehow finds himself in the body of middle-aged Hakuto Kunai, Infinity Game's Demon Lord!

Soon after his mysterious transportation, he witnesses the demon Greole chasing after a little girl named Aku. Although he effortlessly dispatches the creature, Hakuto is still concerned; after all, he does not remember creating the girl or the demon! Doubting whether he truly is in the world of his creation, Hakuto decides to investigate. Bringing Aku along as his guide and companion, Hakuto sets out on a journey to find out exactly who or what summoned him to this fantasy world—all while leaving chaos and destruction in his wake.

[Written by MAL Rewrite]"
animeRelated	"['Maou-sama, Retry!', 'Maou-sama, ""Petit"" Retry!']"
animeCharacters	['Kunai, Hakuto', 'Aku', 'Elegant, Luna ', 'Queen, Killer', 'Yukikaze', 'White, Angel', 'Kirino, Yuu', 'Kirisame, Zero', 'Tron']
animeVoices	['Tsuda, Kenjirou', 'Takao, Kanon', 'Ishihara, Kaori', 'Tomatsu, Haruka', 'Tokui, Sora', 'Toyosaki, Aki', 'Satou, Rina', 'Morikubo, Shoutarou', 'Kinoshita, Suzuna']
animeStaff	[['Kasai, Yoshinobu', 'Producer, Episode Director'], ['Kuramoto, Masaya', 'Producer'], ['Kimura, Hiroshi', 'Director'], ['Ishihara, Kaori', 'Theme Song Performance']]
